Designator,Mid X,Mid Y,Rotation,Layer
C1,34.6794,-29.0662,90.0,top
C2,37.536,-26.7922,0.0,top
C3,39.8604,-27.5418,270.0,top
C4,42.7052,-34.082,90.0,top
C6,36.9902,-28.3162,180.0,top
C7,80.945,-27.745,270.0,top
C8,42.7052,-31.047,270.0,top
C9,44.2292,-31.047,270.0,top
CbiasBC1,56.98,-36.495,270.0,top
CbiasBC2,54.44,-36.495,270.0,top
CbiasBC3,51.9,-36.495,270.0,top
CbiasBC4,49.36,-36.495,270.0,top
CcompBC1,69.655,-17.445,180.0,top
CcompBC2,68.905,-19.985,90.0,top
CcsBC1,68.88,-26.27,90.0,top
CinBC1,59.52,-36.495,90.0,top
CoutBC1,84.285,-36.4425,270.0,top
CoutBC2,81.745,-36.495,270.0,top
CoutBC3,79.205,-36.495,270.0,top
CoutBC4,76.665,-36.495,270.0,top
CoutBC5,73.95,-36.495,270.0,top
CssBC1,65.2986,-16.175,270.0,top
CvccBC1,62.53,-27.745,90.0,top
D1,35.9612,-40.6026,270.0,top
D2,34.3102,-40.6026,270.0,top
D3,71.0516,-40.305,270.0,top
J1,17.7935,-40.7,270.0,top
J3,23.0,-27.365,180.0,top
J4,98.89,-30.78,270.0,top
L1,44.1694,-25.954,0.0,top
L2,57.615,-42.845,270.0,top
Q1,65.235,-39.01,180.0,top
R1,35.9612,-37.277,90.0,top
R10,89.01,-30.145,180.0,top
R11,85.835,-30.145,180.0,top
R2,34.3102,-37.277,90.0,top
R3,40.0252,-37.467,90.0,top
R4,38.1202,-37.467,90.0,top
R5,38.1202,-40.7776,90.0,top
R6,40.0252,-40.7776,90.0,top
R7,93.645,-27.605,270.0,top
R8,89.2,-20.62,180.0,top
R9,86.025,-20.62,180.0,top
RcompBC1,70.81,-19.985,270.0,top
Rcs1BC1,72.69,-24.62,90.0,top
RcsBC1,66.34,-31.542,180.0,top
Rfbb1,74.785,-17.445,180.0,top
Rfbt1,74.785,-15.54,0.0,top
RslBC1,70.785,-24.62,270.0,top
RtBC1,63.512134,-16.175,90.0,top
Ruvlob1,61.725668,-16.175,90.0,top
Ruvlot1,59.355,-16.925,0.0,top
U1,38.849401,-31.562,0.0,top
U2,58.065,-58.545,0.0,top
U3,86.025,-25.065,180.0,top
U4,65.235,-21.89,90.0,top
