Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C15, C16, C2",1206,5,1u,
"C10, C3, C9",1206,3,0.1u,
"C11, C12",1206,2,C,
"C13, C7",1206,2,10u,
"C4, C8",1206,2,100n,
C5,1206,1,75p,
C6,1206,1,47u,
J2,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
"J3, J4",PinHeader_1x02_P2.54mm_Vertical,2,ZobelS,
J5,TerminalBlock_bornier-2_P5.08mm,1,Alimentacion,
J6,TerminalBlock_bornier-2_P5.08mm,1,Altavoz,
"J7, J8, J9",SJ23514ASMTTR,3,SJ2-3514A-SMT-TR,
Pot1,Potentiometer_Piher_PT-10-V10_Vertical,1,Adj,
"Q1, Q10, Q5",TO-220-3_Vertical,3,TIP41C,
Q11,TO-220-3_Vertical,1,IRF4905,
"Q12, Q13, Q3, Q8",TO-126-3_Vertical,4,BD139,
"Q14, Q4, Q7",TO-126-3_Vertical,3,BD140,
"Q2, Q6, Q9",TO-220-3_Vertical,3,TIP42C,
"R1, R2, R3, R4, R7, R8",1206,6,100k,
"R10, R11",1206,2,R,
R12,1206,1,10k,
R5,1206,1,110k,
R6,1206,1,2.7k,
R9,1206,1,50k,
U1,DIP-8_W7.62mm_Socket_LongPads,1,LM358,
U2,DIP-8_W7.62mm_Socket_LongPads,1,OP07,
U3,DIP-16_W7.62mm_Socket_LongPads,1,CD4053B,
